Row Name,SIL ID,Short Name,Long Description,Passage,Keywords,Projects
22,"oc00022,oi00022,ow00022,ob00022",Baskets of fish and flatbread taken to crowd.,Twelve baskets are lined up full of fish and flatbread. Jesus directs some men to take the baskets to a large crowd. The men are in shock.,"Luke 9:10-17, Luke 9:16-17",,Akuo Luke
23,"oc00023,oi00023,ow00023,ob00023",Baskets of fish and flatbread taken to crowd.,Twelve baskets are lined up full of fish and flatbread. Jesus directs some men to take the baskets to a large crowd. The men are in shock.,"Luke 9:10-17, Luke 9:16-17",,Akuo Luke
24,"oc00024,oi00024,ob00024,ow00024",Brilliant light on mountain with silhouettes,"A brilliant light is emanating on the top of a mountain with the silhouette of a human man faintly outlined in the midst of the light. There are two other silhouettes of men on either side. Massive, powerful clouds are above the scene.","Luke 9:28-36, Luke 9:34-35",,Akuo Luke
25,"oc00025,ow00025,ob00025,oi00025",First century farmer sowing seeds.,A first century farmer sowing seeds.,"Luke 8:4-15, Luke 8:5-8",,Akuo Luke
26,oc00026,First century farmer sowing seeds.,A first century farmer sowing seeds.,"Luke 8:4-15, Luke 8:5-8",,Akuo Luke
27,"oc00027,ow00027,oi00027,ob00027",Herod in Roman governor glory.,A picture of Herod in his Roman governor glory looking contemplative.,"Luke 9:7-9, Luke 9:7",,Akuo Luke
28,oc00028,Herod in Roman governor glory.,A picture of Herod in his Roman governor glory looking contemplative.,"Luke 9:7-9, Luke 9:7",,Akuo Luke
29,"oc00029,ow00029,oi00029,ob00029",Jesus  heals man with leprosy.,Jesus is kneeling and touching a man who is prostrate at his feet. The man has torn linen clothes and is deformed from leprosy. His skin is swelled and has white crusts on it.,"Luke 5:12-16, Luke 5:12-13",,Akuo Luke
30,"oc00030,ow00030,oi00030,ob00030",Jesus  heals paralyzed man lowered on mat,"Coming down through a hole in a flat roof is a first century sleeping mat with a paralyzed man lying on it. Jesus is at the bottom and lots of people are in the room, sitting, and listening to Jesus. His four people are lowering down the man with ropes. The light is streaming through the hole in the flat tiled roof of a first century home.","Luke 5:17-26, Luke 5:24-26",,Akuo Luke
31,"oc00031,ow00031,ob00031,oi00031",Jesus and followers leaving tax booth.,"Jesus and a group of his followers are walking away from a tax booth, the man from the booth is following. They leave the booth with papers and coin bags behind.","Luke 5:27-32, Luke 5:27-28",,Akuo Luke
32,"oc00032,ow00032,oi00032,ob00032","Jesus explaining, followers confused, seeking clarity",Jesus is trying to explain something very clearly and his followers (a small group of first century jewish men) are confused by him and looking at each other to check and see if anyone gets what’s being said.,"Luke 9:43-45, Luke 9:45",,Akuo Luke
33,"oc00033,ow00033,ob00033,oi00033",Jesus healing of man's withered hand,"Man with a withered hand being healed by Jesus, they are in a first century Jewish place of worship and there are angry and shocked pharisees around.","Luke 6:6-11, Luke 6:10-11",,Akuo Luke
34,oc00034,Jesus heals demon possesed boy,"Boy laying down, foaming at the mouth. Concerned people are all around and his father is tending to him, trying to help him sit up. Jesus is shouting at the demon inside the boy.","Luke 9:37-43, Luke 9:40-42",,Akuo Luke
35,"oc00035,oi00035,ob00035,ow00035",Jesus heals demon possesed boy,"Boy laying down, foaming at the mouth. Concerned people are all around and his father is tending to him, trying to help him sit up. Jesus is shouting at the demon inside the boy.","Luke 9:37-43, Luke 9:40-42",,Akuo Luke
36,"oc00036,ow00036,oi00036,ob00036",Jesus pushed towards cliff.,A first century Jewish man (Jesus) wearing a tunic. He is being pushed by a crowd towards the edge of a cliff. Men in the background (religious leaders) are directing the mob.,Luke 4:14-30,,Akuo Luke
37,"oc00037,ob00037,oi00037,ow00037",triumphal entry,"A historically grounded depiction of “triumphal entry.” The scene reflects the people, objects, and landscapes of the biblical world with cultural accuracy.","John 12,  Mark 11,  Matthew 21, Luke 19","entry, palms; gate; donkey; hosanna; Jesus, triumphal",SIL 100
38,"oc00038,ow00038,ob00038,oi00038",Jesus teaching men in dark room.,Jesus explaining and teaching a bunch of men in a dark-ish private room in a first century Jewish house. Jesus’ demonor is very severe and serious. The men seem confused and serious.,Luke 9:18-27,,Akuo Luke
39,"oc00039,ow00039,ob00039,oi00039",Jesus with child in Jewish attire.,Jesus is standing next to a small child. They are wearing first century Jewish clothing. Jesus is smiling down at the child.,Luke 6:10-11,,Akuo Luke
40,"oc00040,oi00040,ow00040,ob00040",Jesus with child in Jewish attire.,Jesus is standing next to a small child. They are wearing first century Jewish clothing. Jesus is smiling down at the child.,Luke 6:10-11,,Akuo Luke
41,"oc00041,ow00041,ob00041,oi00041",Jesus with child in Jewish attire.,Jesus is standing next to a small child. They are wearing first century Jewish clothing. Jesus is smiling down at the child.,Luke 6:10-11,,Akuo Luke
42,"oc00042,ow00042,ob00042,oi00042","Jewish crowd around Jesus, lady grasping.","The first century Jewish crowd is pressing around Jesus. A lady, off to his side, is grasping at the hem of his robe. A man begging/leading from him in the front","Luke 8:40-56, Luke 8:44",,Akuo Luke
43,"oc00043,oi00043,ow00043,ob00043","Jewish crowd around Jesus, lady grasping.","The first century Jewish crowd is pressing around Jesus. A lady, off to his side, is grasping at the hem of his robe. A man begging/leading from him in the front","Luke 8:40-56, Luke 8:44",,Akuo Luke
44,"oc00044,oi00044,ow00044,ob00044","Jewish crowd around Jesus, lady grasping.","The first century Jewish crowd is pressing around Jesus. A lady, off to his side, is grasping at the hem of his robe. A man begging/leading from him in the front","Luke 8:40-56, Luke 8:44",,Akuo Luke
45,"oc00045,ow00045,ob00045,oi00045",John The Baptist in jail,John is in jail looking hopeless.,Luke 7:18-35,,Akuo Luke
46,"oc00046,oi00046,ow00046,ob00046",M3 Galilee,"Jesus is walking, facing towards the camera. He looks happy. Behind him, there's a large crowd, comprised of men and women.
",Luke 4:38-44,,Akuo Luke
47,"oc00047,oi00047,ow00047,ob00047",M3 Galilee,"Jesus is walking, facing towards the camera. He looks happy. Behind him, there's a large crowd, comprised of men and women.
",Luke 4:38-44,,Akuo Luke
48,"oc00048,ow00048,ob00048,oi00048",Man healed by Jesus  from demons,"A formerly demon possessed man on his knees. He has ragged clothes and looks tired and confused. Jesus is squatting down and talking to him. People are in the background, they are surprised and in shock. ","Luke 4:31-37, Luke 4:35",,Akuo Luke
49,"oc00049,oi00049,ow00049,ob00049",Mary Old getting to jesus,A middle-aged Jewish woman (Mary) tries to look over or get through a large crowd. Her teenage sons and daughters are with her. ,"Luke 8:19-21, Luke 8:19",,Akuo Luke
50,"oc00050,oi00050,ow00050,ob00050",Medium wooden boat in storm.,"A medium sized wooden boat being battered by storm. People are on deck, freaking out.","Luke 8:22-25, Luke 8:24-25",,Akuo Luke
51,"oc00051,oi00051,ow00051,ob00051",Medium wooden boat in storm.,"A medium sized wooden boat being battered by storm. People are on deck, freaking out.","Luke 8:22-25, Luke 8:24-25",,Akuo Luke
52,"oc00052,oi00052,ow00052,ob00052",Medium wooden boat in storm.,"A medium sized wooden boat being battered by storm. People are on deck, freaking out.","Luke 8:22-25, Luke 8:24-25",,Akuo Luke
53,"oc00053,oi00053,ow00053,ob00053",Medium wooden boat in storm.,"A medium sized wooden boat being battered by storm. People are on deck, freaking out.","Luke 8:22-25, Luke 8:24-25",,Akuo Luke
54,"oc00054,ow00054,ob00054,oi00054",Roman officer caring for sick servant,"A Roman officer tending to a sick, young, male servant of his who is very sick.","Luke 7:1-10, Luke 7:2-10",,Akuo Luke
55,"oc00055,ow00055,ob00055,oi00055",Simon-Peter gets a miraculous catch,Simon/Peter leaning over the side of his boat. He is struggling to pull in a massive catch of fish and is very surprised/in shock.,"Luke 5:1-11, Luke 5:6-7",,Akuo Luke
56,"oc00056,oi00056,ow00056,ob00056",Simon-Peter gets a miraculous catch,Simon/Peter leaning over the side of his boat. He is struggling to pull in a massive catch of fish and is very surprised/in shock.,"Luke 5:1-11, Luke 5:6-7",,Akuo Luke
57,"oc00057,ow00057,ob00057,oi00057",Two Jewish men approaching a village,"Two Jewish men traveling together, carrying nothing whatsoever. They are approaching a village and wave tentatively at group of people around the gate. They are suspicious of the two men and have a distrusting posture.","Luke 9:1-6, Luke 9:2-4",,Akuo Luke
58,"oc00058,ow00058,oi00058,ob00058","Wild man snaps chains, clothing minimal.",A wild crazy-eyed man wearing very little clothing snaps the first century thick chains that are holding him down.,"Luke 8:26-39, Luke 8:29-35",,Akuo Luke
59,"oc00059,ow00059,ob00059,oi00059",Woman wiping Jesus feet with hair,A first century Jewish woman with long black hair is crying and wiping a man’s feet with her hair.,"Luke 7:36-50, Luke 7:38",,Akuo Luke
60,"oc00060,ow00060,ob00060,oi00060",Akuo Luke | Jesus Stoops to Talk,"Luke Image Jesus smiling and squatting down, talking to a poor person who is begging. Jewish leaders are in the background, scoffing.

",Luke,,Akuo Luke
61,"oc00061,ow00061,oi00061,ob00061",Akuo M1 Jesus' Birth,"Jesus/middle eastern baby) as a baby, wrapped in strips of cloth, laying in a feeding through.

",Luke 2:1-6,,Akuo Luke
62,"oc00062,ow00062,oi00062,ob00062",Akuo M2 Preparation,"John is looking over his shoulder at the camera behind him. He looks serious. Ahead, there is a long footpath.
",Luke 1:57-80,,Akuo Luke
63,"oc00063,ow00063,oi00063,ob00063",Akuo M2 Preparation,"John is looking over his shoulder at the camera behind him. He looks serious. Ahead, there is a long footpath.
",Luke 1:57-80,,Akuo Luke
64,"oc00064,ow00064,oi00064,ob00064",Akuo M2S2 Jesus the Son of God,"John is in the river with Jesus. They are both looking up. There is a bright light above them. John is surprised but Jesus is calm.
",Luke 3:21-22,,Akuo Luke
65,"oc00065,oi00065,ow00065,ob00065",Akuo M4 Journey to Jerusalem,"Jesus is walking with his back towards the camera. He's looking behind him, towards the camera, with a very serious/severe expression. There are 6 men to his right and 6 to his left. They are all facing forward (faces not visable)",Luke 9:23-27,,Akuo Luke
66,"oc00066,ow00066,oi00066,ob00066",Akuo M4 Journey to Jerusalem,"Jesus is walking with his back towards the camera. He's looking behind him, towards the camera, with a very serious/severe expression. There are 6 men to his right and 6 to his left. They are all facing forward (faces not visable)",Luke 9:23-27,,Akuo Luke
67,"oc00067,ow00067,oi00067,ob00067",M4S1 Jesus Heads Toward Jerusalem 1,"Jesus is scolding John (follower, not John the baptist) and another middle eastern man. Jesus is pointing at the sky and there's a town a ways off.
",Luke 9:51-62,,Akuo Luke
68,"oc00068,ow00068,oi00068,ob00068",M4S2 Sending out the 70 pt 1,"Two men are in the middle of a town. People are passing by, some are listening, others seem disgusted, upset, or are laughing (not necessarily all). One of the men is on a box, speaking to them, pointing to the sky. The other man is standing beside him on the ground.
",Luke 10:1-24,,Akuo Luke
69,"oc00069,ow00069,oi00069,ob00069",M4S3 Good Samaritan,"A badly injured man is on a donkey. He's unconscious or asleep. A man is leading the donkey and looking concerned.
",Luke 10:25-37,,Akuo Luke
70,"oc00070,ow00070,oi00070,ob00070",M4S4 Mary and Martha,"Jesus is sitting on a seat. There's a woman sitting on the ground, about 5 feet away. They're both looking at another woman, who's standing nearby. She looks distressed and is pointing at the sitting woman.",Luke 10:38-42,,Akuo Luke
71,"oc00071,ow00071,oi00071,ob00071",M4S4 Mary and Martha,"Jesus is sitting on a seat. There's a woman sitting on the ground, about 5 feet away. They're both looking at another woman, who's standing nearby. She looks distressed and is pointing at the sitting woman.",Luke 10:38-42,,Akuo Luke
72,"oc00072,ow00072,ob00072,oi00072",M4S5 How to Pray,"Jesus is praying alone in the wilderness. He is at peace.
",Luke 11:1-13,,Akuo Luke
73,"oc00073,ow00073,oi00073,ob00073",M4S6 Jesus Challenged for Performing Exorcisms,"Jesus holds his hand out to a demon posessed man. People are nearby and they seemed concerned.
",Luke 11:14-28,,Akuo Luke
74,"oc00074,ow00074,oi00074,ob00074",M4S7 Jesus Calls Out the Crowd and the Pharisees,"Jesus pointing at the sky, scolding a large crowd

",Luke 11:29-54,,Akuo Luke
75,"oc00075,ob00075,oi00075,ow00075",M4S7-V2 Queen of Sheba,"A queen bowing down to Solomon. He's in palace and there are guard to either side of his throne.

","Luke 11:31, 1 Kings 10:1-13",,Akuo Luke
76,"oc00076,ow00076,ob00076,oi00076","M4S7-V3 Clean hands, dirty heart","M4S7-V3 M4S7 Clean hands, dirty heart No consistant characters A close up pharisee in his home, washing his hands. A servant is using a vase/jug with two handles to pour water over his hands. Below, there's a bowl on top of an end table. The water flows over his hands into the bowl.",Luke 11:37-53,,Akuo Luke
77,"oc00077,ow00077,oi00077,ob00077",M4S8 Jesus Tells His Apprentices What to Worry About,5 sparrows in a wooden cage.,Luke 12:1-12,,Akuo Luke
78,oc00078,M4S10-V2 (9D) On Worry--Master's Return,"Luke 12:22-48 A servant sitting alone in a nice home, waiting. The room is illuminated with candles. He's sitting near the front door and is looking at it.",Luke 12:22-48,,Akuo Luke
79,"oc00079,ob00079,oi00079,ow00079",M4S11 Don't Worry and Be Trustworthy 1,"A serene wild flower
",Luke 12:22-48,,Akuo Luke
80,oc00080,M4S11 Don't Worry and Be Trustworthy 1,"A serene wild flower
",Luke 12:22-48,,Akuo Luke
81,"oc00081,ow00081,ob00081",M4S11 Jesus Will Divide the Earth,"
Fire raining from heaven onto city
",Luke 12:49-53,,Akuo Luke
82,oc00082,M4S11 Jesus Will Divide the Earth,"
Fire raining from heaven onto city
",Luke 12:49-53,,Akuo Luke
83,"oc00083,ow00083,ob00083",M4S12 Jesus Warns the Crowd 1,"A long dark scary cloud over the desert.
",Luke 12:54-13:9,,Akuo Luke
84,oc00084,M4S12 Jesus Warns the Crowd 1,"A long dark scary cloud over the desert.
",Luke 12:54-13:9,,Akuo Luke
85,"oc00085,ow00085,oi00085,ob00085",M4S13 Teaching at a Synagogue,"Jesus speaking to a hunched backed woman with a hand on her shoulder. He's about to heal her.
",Luke 13:10-21,,Akuo Luke
86,"oc00086,ow00086,oi00086,ob00086",M4S14 Jesus Warns About Destruction 2,"A group of people trying to get in a small doorway, which is closed.
",Luke 13:22-35,,Akuo Luke
87,oc00087,The Empty Tomb,At dawn a stone stands rolled back from a rock‑hewn tomb. The emptiness proclaims the risen Lord.,"John 20,  Luke 24,  Mark 16, Luke 24; John 20; Matthew 28, Matthew 28","Mary; Magdalene, stone, tomb",SIL 100
88,"oc00088,ow00088,ob00088,oi00088",M4S15-V2 S16 (S16) Jesus at a Party--A Swollen Man,"Luke 14:1-24 Jesus healing a man who's very swollen (puffy, like he's having an allergic reaction).",Luke 14:1-24,,Akuo Luke
89,"oc00089,ob00089,ow00089,oi00089",M4S15-V3 (S16) Jesus at a Party--Dinner Etiquette,Luke 14:1-24 Jesus talking to a group of men in a house. There's a party going on around them. He's gesturing to an empty chair at an otherwise full dining table.,Luke 14:1-24,,Akuo Luke
90,"oc00090,ow00090,oi00090,ob00090",M4S16 Jesus Explains What it Takes to Follow Him,"A man walking away from his home with a bag over his shoulder. He's leaving his parents behind and his mother is reaching out, pleading with him to not leave.
",Luke 14:25-35,,Akuo Luke
91,"oc00091,ow00091,oi00091,ob00091",M4S17 Celebrating the Return of Lost People,"Shepherd carrying a lamb oover his shoulders. He's very happy to have found the sheep.
",Luke 15:1-32,,Akuo Luke
92,"oc00092,ow00092,ob00092,oi00092",M4S17-V2 (S19) Lost and Found--The Coin,Luke 15:1-32 A woman holding up a coin. She's super excited.,Luke 15:1-32,,Akuo Luke
93,"oc00093,oi00093,ow00093,ob00093",M4S17-V2 (S19) Lost and Found--The Coin,Luke 15:1-32 A woman holding up a coin. She's super excited.,Luke 15:1-32,,Akuo Luke
94,"oc00094,ob00094,oi00094,ow00094",M4S17-V3 (S20) Lost and Found: The Son,Luke 15:1-32 A father embracing his son. He's very excited. The son is surprised to be welcomed back and hesitant.,Luke 15:1-32,,Akuo Luke
95,oc00095,M4S17-V3 (S20) Lost and Found: The Son,Luke 15:1-32 A father embracing his son. He's very excited. The son is surprised to be welcomed back and hesitant.,Luke 15:1-32,,Akuo Luke
96,"oc00096,oi00096,ow00096,ob00096",M4S18 Be Wise with Your Money,"A man with sores all over his body. He's sitting down and asleep. There's an impressive gate behind him. Dogs are licking at his sores but he doesn't notice.
",Luke 16:1-31,,Akuo Luke
97,oc00097,M4S18 Be Wise with Your Money,"A man with sores all over his body. He's sitting down and asleep. There's an impressive gate behind him. Dogs are licking at his sores but he doesn't notice.
",Luke 16:1-31,,Akuo Luke
98,"oc00098,ow00098,ob00098,oi00098",M4S18-V2 S19 (S19.1) On Money: A Story about a Clever Manager,"Luke 16:1-31 A man at a desk, editing a spreadsheet/account papers. He's crossing parts off and is looking over his shoulder. He has a smug expression.",Luke 16:1-31,,Akuo Luke
99,"oc00099,ow00099,ob00099",M4S18-V3 (S19.2) On Money: Slaves to Money.,Luke 16:1-31 A bag of Roman coins on a table,Luke 16:1-31,,Akuo Luke
100,"oc00100,ow00100,oi00100,ob00100",M4S19-V2 Powerful trust,"A huge tree being ripped out of the ground. It is levitating.

",Luke 17:1-10,,Akuo Luke
101,"oc00101,ow00101,ob00101,oi00101",M4S20 Jesus Heals 10 Men,Jesus walking towards a village. Nearby there are 10 men with a horrible skin condition. They're all pleading with Jesus.,Luke 17:11-19,,Akuo Luke
102,"oc00102,ow00102,ob00102,oi00102",M4S21 When Will God's New World Come?,"A man working in the field. He's looking over at a city a few miles away. There's a terrifying storm coming near it. He's looking at it in awe.

ChatGPT: Verse Visualizer Cinematic GPT


",Luke 17:20-37,,Akuo Luke
103,oc00103,M4S21 When Will God's New World Come?,"A man working in the field. He's looking over at a city a few miles away. There's a terrifying storm coming near it. He's looking at it in awe.

ChatGPT: Verse Visualizer Cinematic GPT


",Luke 17:20-37,,Akuo Luke
104,"oc00104,ow00104,ob00104,oi00104",M4S22 Two Stories about Talking to God,"A wealthy man (tax collector) praying in the temple. He's in great distress and is looking down.

",Luke 18:1-14,,Akuo Luke
105,"oc00105,ow00105,oi00105,ob00105",M4S22-V2 S23 (S23-1) Talking to God: the Widow.,"Luke 18:1-14 A poor woman on her knees, pleading with a Jewish religious expert. He's disgusted with her and tries to pull away.

PROMPT: https://chatgpt.com/share/671cb0e5-dfbc-8013-977e-0b08bc77bfd1",Luke 18:1-14,,Akuo Luke
106,"oc00106,ow00106,oi00106,ob00106",M4S23 Jesus Welcomes Kids,"Jesus holding up a todler and smiling. there are people nearby.
Luke 18:15-17",Luke 18:15-17,,Akuo Luke
107,"oc00107,ow00107,oi00107,ob00107",M4S24 A Politician Asks about Eternal Life,"Someone holding a needle up by the tip, comparing it with a camel.



",Luke 18:18-30,,Akuo Luke
108,"oc00108,ow00108,ob00108,oi00108",M4S25 Jesus Predicts His Death,"Jesus telling his followers something in private. He's very distraught. They are confused about what he's saying.

",Luke 18:31-34,,Akuo Luke
109,"oc00109,ow00109,ob00109,oi00109",M4S26 Jesus at Jericho,"A short, rich man up in a tree, trying to get a glimpse of Jesus. Jesus is surrounded by a lot of people.

",Luke 18:35-19:28,,Akuo Luke
110,"oc00110,ob00110,ow00110,oi00110",M4S26-V2 Passage 3 of Jericho: 10 servants,"10 men are in a throne room before a king. One of them is closer to the king and is speaking to him, trying to exlain something. The king looks unhappy.",Luke 19:11-27,,Akuo Luke
111,"oc00111,ow00111,ob00111,oi00111",M4S26-V2 The Jericho road: A Blind Man,"Luke 18:35-19:28 Jesus is with some other men walking down a road. On the side of the road, there's a poor man with his eyes closed begging Jesus to help him.",Luke 18:35-19:28,,Akuo Luke
112,"oc00112,ow00112,oi00112,ob00112",M4S27 The King Arrives,"Jesus riding towards the Jerusalem gate on a doney. People are celebrating and laying their clothes on the path.

",Luke 19:29-44,,Akuo Luke
113,"oc00113,ow00113,ob00113,oi00113",M5 Jesus argues in temple,"Jesus arguing angrily with religious leaders in the temple.
",Luke 20:1-8,,Akuo Luke
114,"oc00114,ow00114,ob00114,oi00114",M5S1 Jesus Cleanses Temple,"Luke 19:45-20:8 Jesus overturning the tables of the people selling animals in the temple, scattering papers and coins. The people selling are surprised and scared.

FLUX 1.1",Luke 19:45-20:8,,Akuo Luke
115,"oc00115,ow00115,oi00115,ob00115",M5S2-V2 7 husbands,7 men standing in a line. The men do not want to be there/are uncomfortable. There's a women at the end of the line. One of the men is scratching his head.,Luke 20:27–40,,Akuo Luke
116,oc00116,M5S2-V2 7 husbands,7 men standing in a line. The men do not want to be there/are uncomfortable. There's a women at the end of the line. One of the men is scratching his head.,Luke 20:27–40,,Akuo Luke
117,oc00117,M5S2-V2 7 husbands,7 men standing in a line. The men do not want to be there/are uncomfortable. There's a women at the end of the line. One of the men is scratching his head.,Luke 20:27–40,,Akuo Luke
118,"oc00118,ow00118,ob00118,oi00118",M5S2-V2 Trick questions: 7 Husbands,Luke 20:9-40 Jesus in the temple complex with 2 religious leaders. There are crowds around them. The leaders are asking Jesus a question and Jesus is listening carefully.,Luke 20:9-40,,Akuo Luke
119,"oc00119,ow00119,oi00119,ob00119",M5S3 Jesus Claps Back,A widow depositing money in an offering box in the temple https://www.ecosia.org/images?q=offering%20box%20temple%20time%20of%20Jesus&addon=chrome&addonversion=6.0.3#id=8AB455F777E7D2BCC09BE551548274289F718DBA,Luke 20:41-21:4,,Akuo Luke
120,"oc00120,ow00120,oi00120,ob00120",M5S3-V2 A story about tenants,"A man is talking to a group of farmers in a vineyard. They are angry and are yelling at him.

",Luke 20:9-19,,Akuo Luke
121,"oc00121,ow00121,oi00121,ob00121",M5S3-V2 S5 The (Promised King/Chosen One) and David,Jesus asking 2 religious leaders a question. They are confused.,Luke 20:41-21:4,,Akuo Luke
122,"oc00122,oi00122,ob00122,ow00122",M5S3-V3 Watch out for Scripture Experts,"Jesus talking to a crowd in the temple complex. They are listening intently and Jesus is speaking seriously.

",Luke 20:41-21:4,,Akuo Luke
123,"oc00123,ow00123,ob00123,oi00123",M5S3-V3 Watch out for Scripture Experts,"Jesus talking to a crowd in the temple complex. They are listening intently and Jesus is speaking seriously.

",Luke 20:41-21:4,,Akuo Luke
124,"oc00124,ow00124,ob00124",M5S4 Jesus Predicts Destruction 1,"Masses of people flee Jersualem at night. Conflict is going on in the city. The temple and the rest of the city is ablaze. They are emotionally moved.

",Luke 21:5-38,,Akuo Luke
125,"oc00125,ow00125,ob00125,oi00125",M6 The Empty Cross,"An empty cross with blood stains matching where Jesus' hands and feet were.

","Luke 23:50–56, John 19:38–42, Mark 15:42–47, Matthew 27:57–61,",,Akuo Luke
